"DistinguishedName	WhenCreated	Enabled"
"DistinguishedName1	20/03/2019 10:54	False"
"DistinguishedName2	20/03/2019 11:22	True"
"DistinguishedName3	22/03/2019 11:28	True"
"DistinguishedName4	25/03/2019 10:40	True"
"DistinguishedName5	25/03/2019 10:41	True"
"DistinguishedName6	25/03/2019 10:42	True"
"DistinguishedName7	25/03/2019 10:57	True"
"DistinguishedName8	25/03/2019 13:53	True"
"DistinguishedName9	25/03/2019 14:02	True"
"DistinguishedName10	26/03/2019 10:20	True"
"DistinguishedName11	26/03/2019 14:31	True"
"DistinguishedName12	26/03/2019 14:44	True"
"DistinguishedName13	27/03/2019 07:18	True"
"DistinguishedName14	28/03/2019 07:38	True"
"DistinguishedName15	28/03/2019 11:06	True"
"DistinguishedName16	28/03/2019 11:09	True"
"DistinguishedName17	28/03/2019 11:54	True"
"DistinguishedName18	28/03/2019 16:01	True"
"DistinguishedName19	03/04/2019 11:55	True"
"DistinguishedName20	04/04/2019 15:45	True"
"DistinguishedName21	05/04/2019 10:41	False"
"DistinguishedName22	10/04/2019 10:55	True"
"DistinguishedName23	11/04/2019 09:44	True"
"DistinguishedName24	22/04/2019 17:00	True"
"DistinguishedName25	25/04/2019 13:36	True"
"DistinguishedName26	25/04/2019 13:48	True"
"DistinguishedName27	25/04/2019 16:04	True"
"DistinguishedName28	26/04/2019 11:44	True"
"DistinguishedName29	26/04/2019 16:27	True"
"DistinguishedName30	26/04/2019 18:03	True"
"DistinguishedName31	29/04/2019 11:01	True"
"DistinguishedName32	29/04/2019 11:03	True"
"DistinguishedName33	29/04/2019 11:04	True"
"DistinguishedName34	29/04/2019 12:02	True"
"DistinguishedName35	29/04/2019 16:05	True"
"DistinguishedName36	02/05/2019 09:04	True"
"DistinguishedName37	07/05/2019 11:41	True"
"DistinguishedName38	10/05/2019 08:15	True"
"DistinguishedName39	10/05/2019 15:34	True"
"DistinguishedName40	10/05/2019 15:36	True"
"DistinguishedName41	10/05/2019 15:38	True"
"DistinguishedName42	13/05/2019 16:19	True"
"DistinguishedName43	17/05/2019 09:27	True"
"DistinguishedName44	17/05/2019 10:29	True"
"DistinguishedName45	17/05/2019 10:44	True"
"DistinguishedName46	17/05/2019 10:46	True"
"DistinguishedName47	17/05/2019 11:16	True"
"DistinguishedName48	21/05/2019 16:28	True"
"DistinguishedName49	21/05/2019 16:30	True"
"DistinguishedName50	27/05/2019 08:20	True"
"DistinguishedName51	27/05/2019 13:48	True"
"DistinguishedName52	29/05/2019 08:02	True"
"DistinguishedName53	31/05/2019 10:54	True"
"DistinguishedName54	03/06/2019 16:19	True"
"DistinguishedName55	03/06/2019 16:27	True"
"DistinguishedName56	07/06/2019 11:32	True"
"DistinguishedName57	10/06/2019 09:46	True"
"DistinguishedName58	11/06/2019 11:54	True"
"DistinguishedName59	14/06/2019 10:44	True"
"DistinguishedName60	17/06/2019 10:21	True"
